dish_name;meal_types;ingredient_name;quantity;unit;agribalyse_match;unit_multiplier
abricots;diner,gouter,dejeuner;abricots frais;150;g;Abricot, dénoyauté, cru;1
ananas;diner;ananas frais;1;pièce;Ananas, pulpe, cru;1500
bananes;gouter,dejeuner;banane;1;pièce;Banane, pulpe, crue;120
bananes au chocolat;diner;banane;1;pièce;Banane, pulpe, crue;120
bananes au chocolat;diner;chocolat noir ou au lait;50;g;Chocolat au lait, tablette;1
bananes au chocolat;diner;beurre;10;g;Beurre à 82% MG, doux;1
bar à wraps (maïs, thon, tomates, haricots rouges, sauce tomate, poivrons rouges);diner;tortilla maïs;2;pièce;Tortilla souple (à garnir), à base de maïs;40
bar à wraps (maïs, thon, tomates, haricots rouges, sauce tomate, poivrons rouges);diner;thon en conserve;100;g;Thon, au naturel, appertisé, égoutté;1
bar à wraps (maïs, thon, tomates, haricots rouges, sauce tomate, poivrons rouges);diner;tomates fraiches;150;g;Tomate, crue;1
bar à wraps (maïs, thon, tomates, haricots rouges, sauce tomate, poivrons rouges);diner;haricots rouges en conserve;100;g;Haricot rouge, appertisé, égoutté;1
bar à wraps (maïs, thon, tomates, haricots rouges, sauce tomate, poivrons rouges);diner;sauce tomate;100;ml;Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%);1000
bar à wraps (maïs, thon, tomates, haricots rouges, sauce tomate, poivrons rouges);diner;poivrons rouges frais;100;g;Poivron rouge, cru;1
bar à wraps (maïs, thon, tomates, haricots rouges, sauce tomate, poivrons rouges);diner;oignon;50;g;Oignon, cru;1
boulgour au poulet sauce curry;dejeuner;Boulgour;75;g;Boulgour de blé, cru;1
boulgour au poulet sauce curry;dejeuner;Poulet (poitrine ou cuisse);150;g;Poulet, poitrine, viande et peau, cru;1
boulgour au poulet sauce curry;dejeuner;Oignon;1;pièce;Oignon, cru;110
boulgour au poulet sauce curry;dejeuner;Curry en poudre;1;cuillère à café;Curry, poudre;1000
boulgour au poulet sauce curry;dejeuner;Crème fraîche ou lait de coco;100;ml;Crème de lait, 30% MG, épaisse, rayon frais;1.03
boulgour au poulet sauce curry;dejeuner;Huile d'olive;1;cuillère à soupe;Huile d'olive vierge extra;1000
bruschettas;dejeuner;pain blanc;2;tranche(s);Pain blanc maison (avec farine pour machine à pain);1000
bruschettas;dejeuner;tomate;1;pièce;Tomate, crue;120
bruschettas;dejeuner;ail;0.5;gousse;Ail, cru;1000
bruschettas;dejeuner;huile d'olive;10;ml;Huile d'olive vierge extra;0.92
bruschettas;dejeuner;vinaigre balsamique;5;ml;Vinaigre balsamique;1.01
bruschettas;dejeuner;persil frais;5;g;Persil, frais;1
burgers;diner;Pain à burger;1;pièce;Pain pour hamburger ou hot dog (bun), préemballé;1000
burgers;diner;Steak haché (15% matière grasse);100;g;Bœuf, steak haché 15% MG, cru;1
burgers;diner;Salade;30;g;Salade verte, crue, sans assaisonnement;1
burgers;diner;Tomate;50;g;Tomate, crue;1
burgers;diner;Oignon;20;g;Oignon, cru;1
burgers;diner;Fromage à burger (type cheddar);20;g;Cheddar;1
burgers;diner;Sauce ketchup;15;ml;Ketchup;1000
burgers;diner;Sauce moutarde;10;ml;Sauce moutarde, préemballée;1000
burgers;diner;Mayonnaise;15;ml;Mayonnaise (70% MG min.);1000
bâtonnets de concombre et carottes avec sauce au yaourt;diner;Concombre;150;g;Concombre, pulpe et peau, cru;1
bâtonnets de concombre et carottes avec sauce au yaourt;diner;Carotte;100;g;Carotte, crue;1
bâtonnets de concombre et carottes avec sauce au yaourt;diner;Yaourt nature;100;ml;Yaourt, lait fermenté ou spécialité laitière, nature;1.03
bâtonnets de concombre et carottes avec sauce au yaourt;diner;Citron;0.25;pièce;Citron, pulpe, cru;100
bâtonnets de concombre et carottes avec sauce au yaourt;diner;Persil frais (optionnel);5;g;Persil, frais;1
bâtonnets de concombres avec sauce;dejeuner;concombre;150;g;Concombre, pulpe et peau, cru;1
bâtonnets de concombres avec sauce;dejeuner;crème fraîche;75;ml;Crème de lait, 30% MG, épaisse, rayon frais;1.03
bâtonnets de concombres avec sauce;dejeuner;yaourt nature;75;ml;Yaourt, lait fermenté ou spécialité laitière, nature;1.03
